,quality
455,6
5540,5
4341,6
5504,7
1238,7
1515,6
2121,7
2465,5
1072,7
2110,5
5720,5
1357,6
2386,4
4668,7
167,7
5745,6
2761,5
1122,7
5762,5
3883,6
4185,5
1487,6
5478,5
241,5
1989,7
1570,5
4812,7
119,5
6013,6
5385,6
3619,6
1379,6
5942,6
91,5
1932,6
2275,4
3996,7
5562,5
5636,5
126,5
2547,5
2258,5
4320,5
2797,5
3051,5
2466,5
2,6
6240,6
3330,6
3146,6
5614,5
679,7
2320,6
2873,8
2272,6
5496,6
3834,5
353,7
2229,6
1380,7
4289,6
5465,6
3762,5
2129,5
4494,6
5224,7
2060,5
5180,5
919,7
4446,6
498,5
5928,7
3973,4
6156,6
4771,6
4917,6
4181,6
1390,6
5927,7
2920,4
3940,5
47,5
6346,5
1691,7
3457,7
5292,5
590,5
4624,6
1705,6
3964,5
3794,5
528,6
537,6
41,6
1135,6
916,7
644,5
4698,6
4538,6
1284,7
1600,6
495,6
5453,5
6259,5
3026,6
6152,5
924,8
1159,6
2995,6
3658,7
2633,5
1313,5
4673,7
330,8
5596,5
1435,5
143,6
1163,6
3497,6
1282,5
4868,6
2552,5
3001,7
4247,6
225,5
5719,7
1098,6
3223,6
2496,5
715,7
523,6
3810,3
588,7
3485,7
2415,5
6472,6
4775,6
3649,6
2187,5
2772,7
725,5
6017,5
1652,4
711,6
5754,6
1704,5
2795,8
2658,7
3031,6
823,6
2057,7
600,6
2142,5
229,5
5918,6
5400,7
4539,5
586,6
5267,7
1326,6
2867,7
450,5
3892,5
5867,5
5036,5
2477,7
5271,5
3853,7
3565,6
15,7
5498,4
4943,4
5693,5
40,6
4586,6
217,5
4420,6
2614,5
4080,6
2769,5
3894,6
801,5
5290,5
4977,4
3938,6
3903,6
272,5
4365,5
2719,6
2678,5
6471,6
3929,5
1526,6
2803,8
3517,7
1707,5
3705,6
1602,5
5455,5
1369,5
2553,7
5830,6
5069,6
5757,6
880,7
864,5
42,6
808,6
1751,7
1055,5
4090,6
2709,5
623,5
5147,6
218,5
553,7
26,6
3461,8
5716,5
824,5
947,5
3975,7
3824,7
6376,3
5980,6
2164,5
4830,6
2383,6
1816,7
4486,6
4998,6
1221,7
1017,6
3802,5
1384,6
4299,6
2631,7
1105,7
5947,6
3601,7
2998,7
2485,6
2950,5
2558,7
6010,6
61,6
1209,6
3539,6
3727,7
3255,6
1762,7
3444,5
5338,8
867,8
6211,6
2235,6
5976,5
3405,6
1823,6
3301,8
998,6
803,7
2655,5
2354,6
5241,6
1909,5
3148,6
6386,5
5970,6
5704,7
6171,5
5333,5
2712,5
2305,7
5968,7
6375,7
2331,5
4907,5
2514,7
3843,7
4190,6
3852,6
3059,6
5111,5
3981,7
1466,6
4224,7
724,7
878,6
3801,6
5561,6
135,5
5375,6
3529,7
2864,6
5257,6
2289,7
4174,6
6045,7
3254,5
2508,6
113,5
2017,5
624,5
1969,7
474,6
3522,5
4609,4
473,7
4435,6
1289,6
5045,5
6465,5
4835,6
4029,6
6424,6
6487,5
4839,4
1134,5
1713,6
4944,5
393,6
2089,6
3435,6
3167,7
3036,5
2138,5
5515,6
608,5
4426,6
4284,6
4471,6
2031,5
105,6
5743,5
3917,5
6236,5
5673,5
3122,6
1585,5
927,7
346,7
4065,8
1149,5
3595,7
939,7
5763,5
4870,7
3046,6
6220,5
5520,5
760,6
5995,5
5213,6
6405,6
5437,5
6119,6
390,7
1937,7
2224,7
1516,6
2494,4
5210,6
5178,6
2201,6
3899,5
1872,5
95,6
3677,6
4415,5
3507,7
434,8
1076,6
3185,6
2358,5
6,6
4623,6
2451,5
661,7
3228,6
314,5
941,6
3069,8
4469,6
1580,5
1411,6
615,5
1643,7
716,6
6073,6
966,6
4572,7
4816,6
3483,7
1059,4
5312,5
3340,6
3277,7
603,5
6182,5
2449,6
2203,5
4416,5
1229,3
877,6
5025,5
3706,6
4757,7
4935,7
1992,5
1054,5
5306,6
4939,4
2009,7
1429,5
4200,6
1683,7
5837,5
6233,6
5888,5
6127,5
749,6
318,7
6168,6
6389,5
2413,4
618,6
2829,5
2342,8
5941,7
1276,7
2365,5
5814,5
425,6
6228,6
2764,6
2927,7
1430,4
111,5
4571,7
5634,5
545,6
2249,5
5459,5
5297,5
3202,7
323,6
3454,5
270,6
2580,5
642,6
5165,8
3835,5
4233,6
6103,7
3304,7
3974,6
3233,6
680,5
1353,5
6463,6
3972,6
1230,6
1581,6
5151,5
4560,6
5024,5
3024,6
2326,5
860,8
1567,5
5043,5
153,5
2435,4
497,6
14,5
807,6
2989,6
6227,6
3458,7
2966,6
5284,6
6355,5
4096,5
4171,5
1946,6
5823,7
2007,6
1837,7
399,6
3695,6
1767,5
5015,6
4473,5
5490,5
5473,6
1694,6
1896,6
222,7
2702,5
2953,5
5335,6
2459,5
2146,6
3795,6
4802,8
2665,5
1444,6
981,7
355,6
2962,5
221,6
6136,4
3219,7
4210,6
2076,5
6114,6
1400,7
4916,4
5855,6
3841,6
2147,5
423,6
4279,6
299,6
5252,6
5445,6
2103,5
67,5
4066,6
4334,8
4449,6
5395,5
1594,6
4219,5
3464,5
5276,6
5824,6
6377,5
1241,7
2710,5
31,6
6313,5
1981,8
4301,5
6128,6
668,6
3266,6
3976,7
3942,6
1955,5
2516,6
1218,8
2932,6
2627,7
5208,6
992,5
2199,6
2669,5
5480,5
2134,6
3411,6
4199,6
4204,6
4347,7
1848,5
6306,7
1810,6
5503,6
3133,6
2282,5
3194,5
3785,7
147,4
4034,5
5474,4
671,6
4704,6
1536,5
2667,7
2687,5
5696,6
4271,5
5122,4
2981,7
3638,7
2824,6
1889,5
3950,5
3769,5
1625,6
3205,7
352,6
5200,5
4603,6
387,5
6223,6
2606,6
2783,6
863,6
3559,4
5004,5
43,6
2569,6
721,5
2536,6
4227,7
4193,6
2976,6
2768,6
4849,5
5161,5
4814,6
2085,6
5957,7
3673,7
771,7
1527,6
6362,5
5730,3
3175,6
4218,6
4104,7
4452,5
173,7
34,5
4248,6
5914,7
5203,6
4564,7
5752,6
291,6
754,5
133,5
494,6
915,5
279,7
1217,5
1769,7
2986,7
5182,5
3684,7
3363,6
3399,6
1223,5
1977,6
5244,7
4616,5
6335,5
6146,6
4778,6
1551,6
6442,7
2067,5
2548,6
5644,6
6438,6
1712,6
3105,6
2992,7
3728,7
1936,6
4688,6
4971,4
2510,6
551,7
2079,4
369,5
4925,5
5612,5
3496,7
858,7
3955,6
3272,7
1727,6
3339,6
1175,5
1260,6
1858,5
6267,4
464,5
5880,6
6035,6
3239,7
1334,6
1827,6
4578,7
3916,6
3126,7
377,7
2600,7
1281,7
2346,4
852,7
3490,7
5412,7
4614,5
137,5
5881,6
6286,5
3319,5
2004,6
4111,6
5243,5
4779,4
6066,6
772,7
3512,6
5958,6
2236,5
3136,5
775,6
1876,6
2040,6
2551,6
1891,5
2815,5
739,6
4821,6
1914,6
3070,8
731,6
6244,5
6348,7
4451,5
296,5
4095,6
5781,5
1332,7
845,8
1696,6
3477,7
1052,5
2414,4
5060,6
4156,5
727,5
6260,6
2086,5
3826,6
3710,5
1943,5
186,6
6078,6
1505,7
2804,8
3200,7
440,7
4106,5
1033,6
2042,6
4713,6
550,7
3079,5
2885,6
4488,6
2339,6
7,6
2304,6
77,7
4909,5
1656,5
448,6
28,6
982,6
1074,6
669,5
4437,6
893,7
4587,6
3587,6
2115,5
189,4
582,6
5847,7
76,7
903,6
5430,5
3446,6
1562,7
5567,6
2256,5
2398,6
6191,4
2985,7
5724,7
5563,5
1110,7
4006,6
838,8
4189,5
2287,5
2607,6
4964,5
4638,5
6250,5
3796,6
1389,6
5697,6
5363,5
5454,6
3,6
741,6
4573,6
3813,5
21,7
2107,6
4055,6
5084,5
6249,6
5006,6
367,6
5497,6
1005,6
4807,6
4687,6
2557,7
344,6
5996,7
1738,5
4421,6
2171,7
5422,5
4012,6
1431,5
477,6
1867,6
29,7
1012,6
5082,6
3369,7
4138,6
4159,7
1252,6
2784,6
688,6
815,5
1763,6
6087,4
1489,5
2424,5
5266,5
4975,6
4407,6
1884,5
2518,7
2411,6
1211,5
4339,8
6120,6
6172,6
480,5
6016,6
1028,7
4855,6
3729,5
2116,4
5369,6
6050,5
691,6
788,7
4515,6
3234,6
4709,6
1793,5
5871,5
5485,5
6093,6
2814,7
3251,6
6167,8
5972,5
162,5
4394,6
5351,7
3486,6
1609,7
1261,6
1452,6
1360,6
4869,6
5258,5
3448,7
371,6
4651,7
782,7
3130,6
3077,5
2016,7
2603,7
2951,5
3713,5
1188,6
505,6
4782,6
1082,6
5123,6
4014,6
1917,6
3449,8
39,5
1789,7
2378,5
3811,5
1397,7
4677,7
936,5
4888,5
4745,3
5900,7
5125,5
2324,5
1745,5
4441,6
5048,6
5281,6
1860,6
2809,7
2202,5
5376,5
2810,7
1254,5
889,7
5963,6
5110,6
5877,5
5179,7
3538,7
909,5
5984,7
2554,7
2823,6
3128,6
1661,6
5396,8
4920,5
5872,7
4317,7
5176,8
2527,6
2412,4
2684,6
3141,7
1761,6
3758,5
2686,6
4566,5
4833,6
1115,8
3664,8
707,6
5166,6
1184,7
3918,7
6275,6
4744,5
1583,5
3958,6
2099,5
4505,5
2154,4
5499,6
1481,6
1758,5
5943,6
3325,7
6310,6
3087,3
2877,5
2905,5
2502,4
3569,6
1069,6
1385,5
13,7
931,5
836,8
4032,5
2336,5
4715,6
4648,5
3380,7
3047,5
1324,6
5081,5
5103,7
4005,6
507,7
2297,6
3818,6
6384,5
2641,5
4912,5
6312,5
4110,5
4608,7
5750,5
3581,7
4430,5
1032,6
3356,6
72,5
220,5
5572,6
3553,6
3594,7
4708,6
5797,3
3667,8
2874,7
4862,6
5552,5
5820,6
4690,6
3106,6
